,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind speed
178,Hailey,5,US,1547326200,40,43.52,-114.32,1,4.1
179,Saint-Philippe,1,CA,1547328900,65,45.36,-73.48,-14,2.1
180,Sladkovo,76,RU,1547329756,79,55.53,70.34,-15.37,6.75
181,Phra Phutthabat,0,TH,1547329759,89,14.72,100.8,21.19,1.9
182,Yulara,0,AU,1547326800,23,-25.24,130.99,29,4.1
183,Sao Joao da Barra,0,BR,1547326800,65,-21.64,-41.05,28,8.2
184,Ibicarai,88,BR,1547329773,67,-14.87,-39.59,26.41,4.1
185,Marawi,48,PH,1547329776,100,8.0,124.29,18.76,1.0
186,Martvili,40,GE,1547328600,74,42.41,42.38,6,3.6
187,Thompson,90,CA,1547326800,78,55.74,-97.86,-11,5.1
188,Salalah,0,OM,1547326200,27,17.01,54.1,25,4.1
189,Chokurdakh,80,RU,1547329792,71,70.62,147.9,-30.84,3.2
190,Tiksi,44,RU,1547329796,40,71.64,128.87,-32.24,3.75
191,Mae Sai,0,MM,1547326800,100,20.44,99.89,19,1.0
192,Quatre Cocos,40,MU,1547326800,78,-20.21,57.76,27,5.7
193,Jiayuguan,8,CN,1547329806,74,39.77,98.29,-20.57,1.4
194,Lavrentiya,8,RU,1547329810,100,65.58,-170.99,-23.87,11.55
195,Xuanhua,0,CN,1547329813,76,40.61,115.04,-16.24,1.65
196,Dwarka,40,IN,1547328600,87,28.58,77.04,11,1.25
197,Tema,75,GH,1547326800,83,5.66,-0.01,29,5.1
198,Vanavara,20,RU,1547329824,53,60.35,102.28,-28.27,1.85
199,Mareeba,32,AU,1547328600,74,-16.99,145.42,26,4.1
200,Munster,75,DE,1547328000,93,52.99,10.09,6,7.2
201,Titisee-Neustadt,75,DE,1547328000,91,47.9,8.17,4,4.6
202,La Ronge,75,CA,1547326800,78,55.1,-105.3,-8,2.6
203,Deputatskiy,48,RU,1547329847,53,69.3,139.9,-35.62,1.25
204,Natal,75,BR,1547326800,74,-5.81,-35.21,28,5.7
205,Avera,90,US,1547328900,68,33.19,-82.53,12,3.6
206,Chaman,0,AF,1547329857,73,30.92,66.46,-8.67,1.2
207,Koslan,76,RU,1547329860,72,63.46,48.9,-8.34,3.9
208,Maxingal,44,PH,1547329864,92,18.21,121.67,17.01,0.45
209,Kloulklubed,90,PW,1547326200,94,7.04,134.26,25,4.1
210,Korcula,20,HR,1547326800,45,42.96,17.14,6,2.1
211,Santa Isabel,48,CO,1547329874,57,4.71,-75.1,24.21,0.85
212,Rock Hill,90,US,1547330100,59,34.92,-81.03,4.4,3.1
213,Concordia,8,AR,1547329881,86,-31.4,-58.02,24.51,5.65
214,Sulangan,12,PH,1547329887,99,11.14,123.72,26.69,7.7
215,Mahebourg,40,MU,1547326800,78,-20.41,57.7,27,5.7
216,Worland,1,US,1547326500,88,44.02,-107.96,1.1,2.05
217,Cabo San Lucas,5,MX,1547325840,60,22.89,-109.91,25,5.1
218,Dunedin,92,NZ,1547329783,78,-45.87,170.5,14.84,2.95
219,Dzerzhinsk,90,RU,1547328600,85,56.24,43.46,-11,5.0
220,Grand Gaube,40,MU,1547326800,78,-20.01,57.66,27,5.7
221,Dzerzhinskoye,44,RU,1547329910,50,56.84,95.22,-19.62,3.7
222,Pyaozerskiy,56,RU,1547329916,72,65.83,31.17,-2.74,5.2
223,Flin Flon,75,CA,1547326800,85,54.77,-101.88,-11,5.1
224,Cabedelo,20,BR,1547326800,88,-6.97,-34.84,25,3.6
225,Tamandare,92,BR,1547329926,87,-8.28,-70.75,24.64,1.55
226,Lambarene,92,GA,1547329929,100,-0.7,10.22,22.31,0.95
227,Roebourne,0,AU,1547329933,62,-20.77,117.15,22.41,1.5
228,Huilong,92,CN,1547329939,96,28.89,110.18,0.91,1.05
229,Alekseyevsk,56,RU,1547329943,66,57.84,108.35,-18.52,2.25
230,Praia da Vitoria,40,PT,1547326800,82,38.73,-27.07,16,10.45
231,Bulnes,75,CL,1547326800,31,-36.74,-72.3,24,5.1
232,Bathsheba,20,BB,1547326800,65,13.22,-59.52,26,5.7
233,Bilibino,20,RU,1547329956,42,68.06,166.44,-33.19,1.0
234,Kapit,88,MY,1547329922,99,2.02,112.94,22.04,1.05
235,Tual,68,ID,1547329965,100,-5.67,132.75,28.19,5.2
236,Lundazi,92,ZM,1547329968,100,-12.29,33.17,18.51,4.15
237,Wajir,12,KE,1547329972,27,1.75,40.07,22.89,3.6
238,Sarangani,44,PH,1547329975,97,5.4,125.46,27.46,3.65
239,Hilo,90,US,1547326380,81,19.71,-155.08,22.8,2.1
240,Saskylakh,0,RU,1547329981,0,71.97,114.09,-48.19,1.85
241,Sambava,36,MG,1547329988,100,-14.27,50.17,26.14,1.75
242,Hoima,12,UG,1547329991,50,1.43,31.35,17.56,2.85
243,Bouna,24,CI,1547329994,39,9.27,-3.0,23.91,1.85
